i,theta,theta_dot,u
0093,-0.3613481633975144,0.9364994108536305,-5.04250307183497
0094,-0.3525981633975154,0.934302849107109,-5.078702308560568
0095,-0.34384816339751634,0.9320255913867451,-5.114209298459502
0096,-0.3351481633975173,0.9296822438549032,-5.1488356941390805
0097,-0.32644816339751825,0.9272608802045088,-5.182794502033003
0098,-0.3177481633975192,0.9247623218145369,-5.216093475914623
0099,-0.30909816339752016,0.9222023702258335,-5.248554216842407
0100,-0.3004481633975211,0.9195676249554255,-5.280376867984775
0101,-0.29184816339752206,0.916874662939955,-5.311389488690541
0102,-0.283248163397523,0.9141091337565233,-5.341783972103246
0103,-0.27469816339752395,0.9112883771765674,-5.371394739900542
0104,-0.2661481633975249,0.9083971215085618,-5.400405711548154
0105,-0.25759816339752584,0.9054359383453531,-5.4288220381477235
0106,-0.24909816339752677,0.9024232971463566,-5.456487582295225
0107,-0.2405981633975277,0.8993425963786226,-5.483574794995227
0108,-0.23214816339752864,0.8962130412952226,-5.509933695551812
0109,-0.22369816339752957,0.8930171673443422,-5.535729312304191
0110,-0.2152981633975305,0.8897749051524837,-5.560817742718
0111,-0.20689816339753142,0.8864679481579444,-5.585356786124971
0112,-0.19849816339753235,0.8830966859938908,-5.60934975061305
0113,-0.19014816339753327,0.8796821251711953,-5.632661765794292
0114,-0.18179816339753418,0.8762047341130074,-5.655440130324587
0115,-0.1734981633975351,0.8726862229771644,-5.677555891851549
0116,-0.165198163397536,0.8691062606518479,-5.699149503566779
0117,-0.15694816339753692,0.8654872525525812,-5.720097840116674
0118,-0.14869816339753783,0.861808083622313,-5.74053470587226
0119,-0.14049816339753873,0.8580918466929046,-5.760342777361853
0120,-0.13229816339753964,0.8543166570651126,-5.779649215134631
0121,-0.12409816339754054,0.8504827325278439,-5.798455635928771
0122,-0.11594816339754144,0.8466141880177241,-5.816653388418468
0123,-0.10779816339754233,0.8426880097068152,-5.8343599698638675
0124,-0.09969816339754323,0.8387289844239996,-5.851472424916426
0125,-0.09159816339754412,0.8347133569763747,-5.86810190462982
0126,-0.083548163397545,0.8306665800380352,-5.884151109534834
0127,-0.07549816339754589,0.8265641676383352,-5.899724931153683
0128,-0.06749816339754677,0.8224322327291584,-5.914731690057428
0129,-0.05949816339754723,0.8182455682353984,-5.929270095898642
0130,-0.051498163397547,0.8140042646258807,-5.94334054531402
0131,-0.043548163397546774,0.8097354192068278,-5.956859755870616
0132,-0.035598163397546546,0.805412759550571,-5.96991728821467
0133,-0.02769816339754632,0.8010640331611891,-5.982435423697829
0134,-0.019798163397546094,0.7966622646649169,-5.994497678964642
0135,-0.011948163397545997,0.7922358477788798,-6.006031877468494
0136,-0.004098163397546045,0.7877571111105668,-6.017115542724368
0137,0.0037018366024539613,0.7832550910309644,-6.027682022392862
0138,0.011501836602453916,0.7787014263591028,-6.037802891030532
0139,0.019301836602453996,0.7740961071639857,-6.047477601544176
0140,0.027051836602454218,0.7694691304606329,-6.056647778901111
0141,0.034801836602454436,0.7647911097483111,-6.065376131037068
0142,0.04250183660245466,0.7600926794749957,-6.0736097945413166
0143,0.05020183660245488,0.7553437737289013,-6.081405591074245
0144,0.057851836602455096,0.7505756622663867,-6.08871616381872
0145,0.0655018366024549,0.7457576038089377,-6.095592471427237
0146,0.07310183660245406,0.7409215016875953,-6.101992662138316
0147,0.08070183660245323,0.7360359427298155,-6.107961849450733
0148,0.0882518366024524,0.7311334624926771,-6.113463688565453
0149,0.09580183660245156,0.7261819788311249,-6.118537460470441
0150,0.10335183660245073,0.721181380197736,-6.123181672637764
0151,0.1108518366024499,0.7161651502651847,-6.1273682594468415
0152,0.11835183660244908,0.7111002058643789,-6.1311277440929315
0153,0.12580183660244826,0.70602066313193,-6.1344376046017075
0154,0.13325183660244744,0.7008927725241539,-6.1373225202473565
0155,0.14065183660244662,0.6957512826388139,-6.139765526803385
0156,0.1480518366024458,0.6905617786473471,-6.1417854994632295
0157,0.155401836602445,0.6853596419801573,-6.143370959727025
0158,0.1627518366024442,0.6801097931174837,-6.144534924956621
0159,0.17010183660244338,0.6748120457229472,-6.1452752018144805
0160,0.17740183660244258,0.6695027327543278,-6.1455888055896395
0161,0.18470183660244177,0.6641457750102933,-6.1454798641389665
0162,0.19195183660244097,0.6587781428809406,-6.144951044640382
0163,0.19920183660244017,0.6533630893475625,-6.144000550683491
0164,0.20640183660243938,0.6479382239574991,-6.142636731319672
0165,0.2136018366024386,0.6424661307337746,-6.140851839753821
0166,0.2207518366024378,0.636985060489469,-6.138659940456521
0167,0.227901836602437,0.6314569266654,-6.136047305462177
0168,0.23500183660243623,0.6259206238364299,-6.1330337518298395
0169,0.24210183660243545,0.6203373927533283,-6.129599534931927
0170,0.24920183660243467,0.6147069579939277,-6.12574160808164
0171,0.2562518366024339,0.6090691852240969,-6.121488488043412
0172,0.2633018366024331,0.6033842973882952,-6.116811288203836
0173,0.27030183660243234,0.597692814048661,-6.11174440652044
0174,0.2773018366024316,0.5919542753954941,-6.106252805756985
0175,0.2842518366024308,0.5862098588444614,-6.100376816177389
0176,0.29120183660243004,0.5804184179240924,-6.09407519653669
0177,0.2981018366024293,0.5746217922850053,-6.087394264617439
